"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1960,"Alabama",3266740,33823,11626,19344,2853
1961,"Alabama",3302000,32541,11205,18801,2535
1962,"Alabama",3358000,35829,11722,21306,2801
1963,"Alabama",3347000,38521,12614,22874,3033
1964,"Alabama",3407000,46290,15898,26713,3679
1965,"Alabama",3462000,48215,16398,28115,3702
1966,"Alabama",3517000,53740,18551,30583,4606
1967,"Alabama",3540000,57079,20227,31682,5170
1968,"Alabama",3566000,62997,22403,34508,6086
1969,"Alabama",3531000,66248,23559,36644,6045
1970,"Alabama",3444165,75214,26739,40779,7696
1971,"Alabama",3479000,76084,27547,40841,7696
1972,"Alabama",3510000,73053,27714,38493,6846
1973,"Alabama",3539000,78999,31754,39206,8039
1974,"Alabama",3577000,93976,37841,46813,9322
1975,"Alabama",3614000,111296,42059,59470,9767
1976,"Alabama",3665000,125325,42879,72832,9614
1977,"Alabama",3690000,121702,41901,69442,10359
1978,"Alabama",3742000,131707,46001,74387,11319
1979,"Alabama",3769000,144372,48517,83791,12064
1980,"Alabama",3861466,173191,58952,102029,12210
1981,"Alabama",3916000,173411,56811,105471,11129
1982,"Alabama",3943000,165048,49531,104740,10777
1983,"Alabama",3959000,145890,42485,94279,9126
1984,"Alabama",3990000,138487,39970,89198,9319
1985,"Alabama",4021000,140115,41612,88108,10395
1986,"Alabama",4053000,151191,46974,93396,10821
1987,"Alabama",4083000,158918,48927,99260,10731
1988,"Alabama",4127000,165209,50920,103282,11007
1989,"Alabama",4118000,166244,47224,106771,12249
1990,"Alabama",4040587,169974,44585,111336,14053
1991,"Alabama",4089000,184882,51873,118151,14858
1992,"Alabama",4136000,181837,49053,117801,14983
1993,"Alabama",4187000,171598,45578,111878,14142
1994,"Alabama",4219000,178015,44064,119951,14000
1995,"Alabama",4253000,179294,43586,120967,14741
1996,"Alabama",4273000,181803,42821,123350,15632
1997,"Alabama",4319000,186809,43786,127616,15407
1998,"Alabama",4352000,177779,41965,120943,14871
1999,"Alabama",4369862,171398,38648,119616,13134
2000,"Alabama",4447100,180539,40331,127399,12809
2001,"Alabama",4468912,173253,40642,119992,12619
2002,"Alabama",4478896,180400,42578,123932,13890
2003,"Alabama",4503726,182241,43245,124039,14957
2004,"Alabama",4525375,182340,44666,123650,14024
2005,"Alabama",4548327,177393,43473,120780,13140
2006,"Alabama",4599030,181249,44780,121451,15018
2007,"Alabama",4627851,184082,45379,124465,14238
2008,"Alabama",4661900,190416,50411,126539,13466
2009,"Alabama",4708708,178007,48844,118072,11091
2010,"Alabama",4785401,168828,42484,115564,10780
2011,"Alabama",4803689,173192,51119,111411,10662
2012,"Alabama",4822023,168878,47481,111523,9874
1960,"Alaska",226167,3494,751,2195,548
1961,"Alaska",234000,3605,891,2223,491
1962,"Alaska",246000,3849,865,2424,560
1963,"Alaska",248000,4843,946,3010,887
1964,"Alaska",250000,5040,1109,3046,885
1965,"Alaska",253000,6210,1403,3777,1030
1966,"Alaska",272000,7168,1613,4354,1201
1967,"Alaska",272000,7409,1873,4436,1100
1968,"Alaska",277000,8713,2070,5307,1336
1969,"Alaska",282000,10318,2455,6195,1668
1970,"Alaska",302173,10648,2387,6595,1666
1971,"Alaska",313000,11923,2656,7631,1636
1972,"Alaska",325000,13351,3155,8577,1619
1973,"Alaska",330000,15044,3852,9456,1736
1974,"Alaska",337000,16131,3932,10016,2183
1975,"Alaska",352000,19912,4275,12399,3238
1976,"Alaska",382000,21700,4653,13969,3078
1977,"Alaska",407000,22201,5420,13715,3066
1978,"Alaska",403000,22585,5397,14522,2666
1979,"Alaska",406000,23193,5616,15076,2501
1980,"Alaska",440142,22930,5545,14916,2469
1981,"Alaska",412000,24634,5479,16310,2845
1982,"Alaska",438000,24479,5204,16672,2603
1983,"Alaska",479000,25889,5720,17085,3084
1984,"Alaska",500000,27468,6184,18140,3144
1985,"Alaska",521000,27588,6209,18220,3159
1986,"Alaska",534000,30307,6204,20879,3224
1987,"Alaska",525000,25841,5093,18195,2553
1988,"Alaska",513000,22566,4321,15911,2334
1989,"Alaska",527000,22567,4358,15811,2398
1990,"Alaska",550043,25457,4919,17428,3110
1991,"Alaska",570000,29000,5582,20375,3043
1992,"Alaska",587000,28816,5170,20728,2918
1993,"Alaska",599000,28795,4893,21201,2701
1994,"Alaska",606000,29947,4848,21824,3275
1995,"Alaska",604000,30097,5055,21891,3151
1996,"Alaska",607000,28667,5118,20557,2992
1997,"Alaska",609000,27840,4276,20780,2784
1998,"Alaska",614000,25316,4098,18611,2607
1999,"Alaska",619500,23099,3787,16654,2658
2000,"Alaska",626932,23087,3899,16838,2350
2001,"Alaska",633630,23160,3847,16695,2618
2002,"Alaska",641482,24118,3908,17739,2471
2003,"Alaska",648280,24386,3874,18051,2461
2004,"Alaska",657755,22172,3773,16159,2240
2005,"Alaska",663253,23975,4131,17249,2595
2006,"Alaska",670053,23975,4155,17284,2536
2007,"Alaska",683478,23096,3734,16929,2433
